group,Iso3,category,year,banded
Health and Wellbeing,OMN,HIV Rate 15 - 24,2010,0.987
Health and Wellbeing,SLB,HIV Rate 15 - 24,2011,0.834
Health and Wellbeing,MEX,HIV Rate 15 - 24,2014,1
Health and Wellbeing,CHN,HIV Rate 15 - 24,2010,0.816
Health and Wellbeing,LBR,HIV Rate 15 - 24,2014,0.65
Health and Wellbeing,ZAF,HIV Rate 15 - 24,2012,0
Health and Wellbeing,BOL,HIV Rate 15 - 24,2011,1
Health and Wellbeing,MEX,HIV Rate 15 - 24,2010,0.912
Health and Wellbeing,ECU,HIV Rate 15 - 24,2011,0.737
Health and Wellbeing,NIC,HIV Rate 15 - 24,2012,1
Health and Wellbeing,SWE,HIV Rate 15 - 24,2013,0.912
Health and Wellbeing,BDI,HIV Rate 15 - 24,2011,0.912
Health and Wellbeing,DZA,HIV Rate 15 - 24,2015,1
Health and Wellbeing,LVA,HIV Rate 15 - 24,2014,0.912
Health and Wellbeing,BOL,HIV Rate 15 - 24,2012,1
Health and Wellbeing,TWN,HIV Rate 15 - 24,2015,0.842
Health and Wellbeing,NER,HIV Rate 15 - 24,2014,1
Health and Wellbeing,LBR,HIV Rate 15 - 24,2011,0.737
Health and Wellbeing,IND,HIV Rate 15 - 24,2011,1
Health and Wellbeing,GRD,HIV Rate 15 - 24,2010,0.547
Health and Wellbeing,UGA,HIV Rate 15 - 24,2010,0
Health and Wellbeing,VCT,HIV Rate 15 - 24,2015,0.591
Health and Wellbeing,SLV,HIV Rate 15 - 24,2015,0.737
Health and Wellbeing,CHE,HIV Rate 15 - 24,2011,0.898
Health and Wellbeing,GHA,HIV Rate 15 - 24,2013,0.562
Health and Wellbeing,PRY,HIV Rate 15 - 24,2012,0.737
Health and Wellbeing,MWI,HIV Rate 15 - 24,2012,0
Health and Wellbeing,UKR,HIV Rate 15 - 24,2014,0.737
Health and Wellbeing,TKM,HIV Rate 15 - 24,2012,0.825
Health and Wellbeing,COL,HIV Rate 15 - 24,2012,0.737
Health and Wellbeing,TZA,HIV Rate 15 - 24,2012,0
Health and Wellbeing,SGP,HIV Rate 15 - 24,2015,0.842
Health and Wellbeing,KAZ,HIV Rate 15 - 24,2014,0.805
Health and Wellbeing,SDN,HIV Rate 15 - 24,2015,0.912
Health and Wellbeing,NAM,HIV Rate 15 - 24,2013,0
Health and Wellbeing,LSO,HIV Rate 15 - 24,2014,0
Health and Wellbeing,CIV,HIV Rate 15 - 24,2010,0
Health and Wellbeing,BTN,HIV Rate 15 - 24,2012,1
Health and Wellbeing,SLE,HIV Rate 15 - 24,2013,0.387
Health and Wellbeing,CMR,HIV Rate 15 - 24,2014,0
Health and Wellbeing,COM,HIV Rate 15 - 24,2015,0
Health and Wellbeing,TLS,HIV Rate 15 - 24,2010,0.816
Health and Wellbeing,LSO,HIV Rate 15 - 24,2012,0
Health and Wellbeing,JPN,HIV Rate 15 - 24,2012,0.842
Health and Wellbeing,PHL,HIV Rate 15 - 24,2012,0.842
Health and Wellbeing,SDN,HIV Rate 15 - 24,2014,0.912
Health and Wellbeing,DJI,HIV Rate 15 - 24,2015,1
Health and Wellbeing,KEN,HIV Rate 15 - 24,2015,0
Health and Wellbeing,THA,HIV Rate 15 - 24,2015,0.65
Health and Wellbeing,MLT,HIV Rate 15 - 24,2010,0.898
Health and Wellbeing,LSO,HIV Rate 15 - 24,2015,0
Health and Wellbeing,KHM,HIV Rate 15 - 24,2013,0.825
Health and Wellbeing,ARE,HIV Rate 15 - 24,2013,0.987
Health and Wellbeing,THA,HIV Rate 15 - 24,2011,0.562
Health and Wellbeing,THA,HIV Rate 15 - 24,2012,0.65
Health and Wellbeing,BEL,HIV Rate 15 - 24,2015,0.912
Health and Wellbeing,ERI,HIV Rate 15 - 24,2014,0.825
Health and Wellbeing,BRA,HIV Rate 15 - 24,2011,0.65
Health and Wellbeing,ALB,HIV Rate 15 - 24,2015,1
Health and Wellbeing,PRT,HIV Rate 15 - 24,2012,0.905
Health and Wellbeing,HUN,HIV Rate 15 - 24,2014,0.912
Health and Wellbeing,BEL,HIV Rate 15 - 24,2014,0.912
Health and Wellbeing,COD,HIV Rate 15 - 24,2012,0.474
Health and Wellbeing,DJI,HIV Rate 15 - 24,2010,0.912
Health and Wellbeing,MWI,HIV Rate 15 - 24,2011,0
Health and Wellbeing,MOZ,HIV Rate 15 - 24,2013,0
Health and Wellbeing,CUB,HIV Rate 15 - 24,2011,0.912
Health and Wellbeing,CHE,HIV Rate 15 - 24,2010,0.898
Health and Wellbeing,PSE,HIV Rate 15 - 24,2010,0.987
Health and Wellbeing,ETH,HIV Rate 15 - 24,2011,0.562
Health and Wellbeing,LCA,HIV Rate 15 - 24,2010,0.547
Health and Wellbeing,DZA,HIV Rate 15 - 24,2012,1
Health and Wellbeing,PNG,HIV Rate 15 - 24,2010,0.912
Health and Wellbeing,BFA,HIV Rate 15 - 24,2015,0.387
Health and Wellbeing,ISR,HIV Rate 15 - 24,2012,0.987
Health and Wellbeing,COM,HIV Rate 15 - 24,2014,0
Health and Wellbeing,JPN,HIV Rate 15 - 24,2014,0.842
Health and Wellbeing,URY,HIV Rate 15 - 24,2012,0.562
Health and Wellbeing,LSO,HIV Rate 15 - 24,2010,0
Health and Wellbeing,CUB,HIV Rate 15 - 24,2012,0.912
Health and Wellbeing,TTO,HIV Rate 15 - 24,2011,0
Health and Wellbeing,BIH,HIV Rate 15 - 24,2015,0.912
Health and Wellbeing,TTO,HIV Rate 15 - 24,2015,0
Health and Wellbeing,VEN,HIV Rate 15 - 24,2013,0.737
Health and Wellbeing,IND,HIV Rate 15 - 24,2010,0.985
Health and Wellbeing,SVN,HIV Rate 15 - 24,2015,0.912
Health and Wellbeing,LBN,HIV Rate 15 - 24,2013,0.987
Health and Wellbeing,JOR,HIV Rate 15 - 24,2014,0.987
Health and Wellbeing,HKG,HIV Rate 15 - 24,2015,0.842
Health and Wellbeing,ZMB,HIV Rate 15 - 24,2010,0
Health and Wellbeing,BLZ,HIV Rate 15 - 24,2010,0.547
Health and Wellbeing,SWZ,HIV Rate 15 - 24,2012,0
Health and Wellbeing,BWA,HIV Rate 15 - 24,2010,0
Health and Wellbeing,CHN,HIV Rate 15 - 24,2015,0.842
Health and Wellbeing,ARG,HIV Rate 15 - 24,2013,0.676
Health and Wellbeing,ECU,HIV Rate 15 - 24,2013,0.737
Health and Wellbeing,BWA,HIV Rate 15 - 24,2011,0
Health and Wellbeing,LKA,HIV Rate 15 - 24,2014,1
Health and Wellbeing,CHN,HIV Rate 15 - 24,2014,0.842
Health and Wellbeing,ARM,HIV Rate 15 - 24,2014,1
Health and Wellbeing,ECU,HIV Rate 15 - 24,2012,0.737
Health and Wellbeing,CMR,HIV Rate 15 - 24,2010,0
Health and Wellbeing,ALB,HIV Rate 15 - 24,2013,1
Health and Wellbeing,GHA,HIV Rate 15 - 24,2015,0.562
Health and Wellbeing,LTU,HIV Rate 15 - 24,2011,0.898
Health and Wellbeing,CUB,HIV Rate 15 - 24,2010,0.912
Health and Wellbeing,COL,HIV Rate 15 - 24,2010,0.737
Health and Wellbeing,BEN,HIV Rate 15 - 24,2012,0.65
Health and Wellbeing,UGA,HIV Rate 15 - 24,2012,0
Health and Wellbeing,UGA,HIV Rate 15 - 24,2011,0
Health and Wellbeing,GIN,HIV Rate 15 - 24,2011,0.036
Health and Wellbeing,CAN,HIV Rate 15 - 24,2012,0.858
Health and Wellbeing,WSM,HIV Rate 15 - 24,2010,0.816
Health and Wellbeing,SSD,HIV Rate 15 - 24,2010,0
Health and Wellbeing,QAT,HIV Rate 15 - 24,2014,0.987
Health and Wellbeing,GRD,HIV Rate 15 - 24,2012,0.577
Health and Wellbeing,TZA,HIV Rate 15 - 24,2010,0
Health and Wellbeing,SYC,HIV Rate 15 - 24,2010,0
Health and Wellbeing,CRI,HIV Rate 15 - 24,2012,1
Health and Wellbeing,SUR,HIV Rate 15 - 24,2014,0.676
Health and Wellbeing,MDV,HIV Rate 15 - 24,2013,1
Health and Wellbeing,GIN,HIV Rate 15 - 24,2014,0.124
Health and Wellbeing,TON,HIV Rate 15 - 24,2011,0.834
Health and Wellbeing,PHL,HIV Rate 15 - 24,2010,0.816
Health and Wellbeing,SSD,HIV Rate 15 - 24,2011,0
Health and Wellbeing,SSD,HIV Rate 15 - 24,2014,0
Health and Wellbeing,SYR,HIV Rate 15 - 24,2012,0.987
Health and Wellbeing,ECU,HIV Rate 15 - 24,2014,0.737
Health and Wellbeing,MDV,HIV Rate 15 - 24,2010,0.985
Health and Wellbeing,COM,HIV Rate 15 - 24,2010,0
Health and Wellbeing,SEN,HIV Rate 15 - 24,2010,0.737
Health and Wellbeing,DEU,HIV Rate 15 - 24,2012,1
Health and Wellbeing,LVA,HIV Rate 15 - 24,2013,0.912
Health and Wellbeing,COM,HIV Rate 15 - 24,2012,0
Health and Wellbeing,COL,HIV Rate 15 - 24,2011,0.737
Health and Wellbeing,BEN,HIV Rate 15 - 24,2011,0.65
Health and Wellbeing,AUS,HIV Rate 15 - 24,2014,1
Health and Wellbeing,NAM,HIV Rate 15 - 24,2014,0
Health and Wellbeing,NLD,HIV Rate 15 - 24,2015,0.912
Health and Wellbeing,MRT,HIV Rate 15 - 24,2013,0
Health and Wellbeing,MMR,HIV Rate 15 - 24,2012,0.737
Health and Wellbeing,USA,HIV Rate 15 - 24,2011,0.847
Health and Wellbeing,JPN,HIV Rate 15 - 24,2011,0.834
Health and Wellbeing,SGP,HIV Rate 15 - 24,2014,0.842
Health and Wellbeing,SWZ,HIV Rate 15 - 24,2011,0
Health and Wellbeing,LCA,HIV Rate 15 - 24,2015,0.591
Health and Wellbeing,IDN,HIV Rate 15 - 24,2015,0.387
Health and Wellbeing,LUX,HIV Rate 15 - 24,2013,0.912
Health and Wellbeing,ATG,HIV Rate 15 - 24,2015,0.591
Health and Wellbeing,BOL,HIV Rate 15 - 24,2010,1
Health and Wellbeing,JPN,HIV Rate 15 - 24,2013,0.842
Health and Wellbeing,DNK,HIV Rate 15 - 24,2011,1
Health and Wellbeing,RWA,HIV Rate 15 - 24,2012,0
Health and Wellbeing,VCT,HIV Rate 15 - 24,2012,0.577
Health and Wellbeing,PAN,HIV Rate 15 - 24,2010,0.65
Health and Wellbeing,HKG,HIV Rate 15 - 24,2010,0.816
Health and Wellbeing,GNQ,HIV Rate 15 - 24,2014,0
Health and Wellbeing,AFG,HIV Rate 15 - 24,2012,1
Health and Wellbeing,PHL,HIV Rate 15 - 24,2013,0.842
Health and Wellbeing,DOM,HIV Rate 15 - 24,2011,0.825
Health and Wellbeing,BFA,HIV Rate 15 - 24,2011,0.387
Health and Wellbeing,BDI,HIV Rate 15 - 24,2015,0.912
Health and Wellbeing,WSM,HIV Rate 15 - 24,2014,0.842
Health and Wellbeing,BGD,HIV Rate 15 - 24,2010,1
Health and Wellbeing,TCD,HIV Rate 15 - 24,2014,0
Health and Wellbeing,BEN,HIV Rate 15 - 24,2010,0.65
Health and Wellbeing,LCA,HIV Rate 15 - 24,2012,0.577
Health and Wellbeing,KWT,HIV Rate 15 - 24,2015,0.987
Health and Wellbeing,GUY,HIV Rate 15 - 24,2011,0
Health and Wellbeing,MYS,HIV Rate 15 - 24,2012,0.912
Health and Wellbeing,ALB,HIV Rate 15 - 24,2014,1
Health and Wellbeing,SVN,HIV Rate 15 - 24,2010,0.898
Health and Wellbeing,SYC,HIV Rate 15 - 24,2012,0
Health and Wellbeing,GRC,HIV Rate 15 - 24,2012,0.905
Health and Wellbeing,BEL,HIV Rate 15 - 24,2012,0.905
Health and Wellbeing,VUT,HIV Rate 15 - 24,2012,0.842
Health and Wellbeing,TTO,HIV Rate 15 - 24,2013,0
Health and Wellbeing,DOM,HIV Rate 15 - 24,2015,0.825
Health and Wellbeing,BRB,HIV Rate 15 - 24,2014,0.591
Health and Wellbeing,BEL,HIV Rate 15 - 24,2013,0.912
Health and Wellbeing,ROU,HIV Rate 15 - 24,2010,1
Health and Wellbeing,TUR,HIV Rate 15 - 24,2015,0.912
Health and Wellbeing,BFA,HIV Rate 15 - 24,2010,0.474
Health and Wellbeing,LBR,HIV Rate 15 - 24,2010,0.65
Health and Wellbeing,KWT,HIV Rate 15 - 24,2013,0.987
Health and Wellbeing,DOM,HIV Rate 15 - 24,2013,0.825
Health and Wellbeing,ARE,HIV Rate 15 - 24,2015,0.987
Health and Wellbeing,SWE,HIV Rate 15 - 24,2011,0.898
Health and Wellbeing,MYS,HIV Rate 15 - 24,2013,0.912
Health and Wellbeing,JPN,HIV Rate 15 - 24,2015,0.842
Health and Wellbeing,LUX,HIV Rate 15 - 24,2012,0.905
Health and Wellbeing,AUT,HIV Rate 15 - 24,2013,0.912
Health and Wellbeing,ISL,HIV Rate 15 - 24,2011,0.898
Health and Wellbeing,OMN,HIV Rate 15 - 24,2015,0.987
Health and Wellbeing,LTU,HIV Rate 15 - 24,2010,0.898
Health and Wellbeing,DJI,HIV Rate 15 - 24,2012,1
Health and Wellbeing,CHL,HIV Rate 15 - 24,2015,0.912
Health and Wellbeing,NOR,HIV Rate 15 - 24,2013,0.912
Health and Wellbeing,ESP,HIV Rate 15 - 24,2011,1
Health and Wellbeing,PSE,HIV Rate 15 - 24,2014,0.987
Health and Wellbeing,CHE,HIV Rate 15 - 24,2013,0.912
Health and Wellbeing,TCD,HIV Rate 15 - 24,2015,0
Health and Wellbeing,GAB,HIV Rate 15 - 24,2010,0
Health and Wellbeing,BRB,HIV Rate 15 - 24,2012,0.577
Health and Wellbeing,AFG,HIV Rate 15 - 24,2014,1
Health and Wellbeing,GBR,HIV Rate 15 - 24,2015,0.912
Health and Wellbeing,KEN,HIV Rate 15 - 24,2010,0
Health and Wellbeing,NZL,HIV Rate 15 - 24,2010,0.816
Health and Wellbeing,BIH,HIV Rate 15 - 24,2013,0.912
Health and Wellbeing,ECU,HIV Rate 15 - 24,2015,0.737
Health and Wellbeing,NOR,HIV Rate 15 - 24,2010,0.898
Health and Wellbeing,TLS,HIV Rate 15 - 24,2011,0.834
Health and Wellbeing,YEM,HIV Rate 15 - 24,2013,1
Health and Wellbeing,GNQ,HIV Rate 15 - 24,2013,0
Health and Wellbeing,NZL,HIV Rate 15 - 24,2011,0.834
Health and Wellbeing,NOR,HIV Rate 15 - 24,2012,0.905
Health and Wellbeing,GEO,HIV Rate 15 - 24,2010,0.912
Health and Wellbeing,OMN,HIV Rate 15 - 24,2011,0.987
Health and Wellbeing,MYS,HIV Rate 15 - 24,2010,0.912
Health and Wellbeing,SWE,HIV Rate 15 - 24,2012,0.905
Health and Wellbeing,PRK,HIV Rate 15 - 24,2011,0.834
Health and Wellbeing,PNG,HIV Rate 15 - 24,2015,0.912
Health and Wellbeing,MYS,HIV Rate 15 - 24,2014,0.912
Health and Wellbeing,COD,HIV Rate 15 - 24,2014,0.474
Health and Wellbeing,ESP,HIV Rate 15 - 24,2010,1
Health and Wellbeing,JOR,HIV Rate 15 - 24,2010,0.987
Health and Wellbeing,CAF,HIV Rate 15 - 24,2011,0
Health and Wellbeing,AUT,HIV Rate 15 - 24,2011,0.898
Health and Wellbeing,MYS,HIV Rate 15 - 24,2011,0.912
Health and Wellbeing,ARM,HIV Rate 15 - 24,2011,1
Health and Wellbeing,CZE,HIV Rate 15 - 24,2011,1
Health and Wellbeing,TUR,HIV Rate 15 - 24,2011,0.898
Health and Wellbeing,CUB,HIV Rate 15 - 24,2013,0.912
Health and Wellbeing,BHS,HIV Rate 15 - 24,2010,0.547
Health and Wellbeing,GUY,HIV Rate 15 - 24,2012,0
Health and Wellbeing,JOR,HIV Rate 15 - 24,2012,0.987
Health and Wellbeing,AUS,HIV Rate 15 - 24,2015,1
Health and Wellbeing,ITA,HIV Rate 15 - 24,2013,1
Health and Wellbeing,SLB,HIV Rate 15 - 24,2015,0.842
Health and Wellbeing,ITA,HIV Rate 15 - 24,2010,1
Health and Wellbeing,PSE,HIV Rate 15 - 24,2011,0.987
Health and Wellbeing,ISR,HIV Rate 15 - 24,2010,0.987
Health and Wellbeing,MUS,HIV Rate 15 - 24,2012,0.737
Health and Wellbeing,STP,HIV Rate 15 - 24,2015,0
Health and Wellbeing,DNK,HIV Rate 15 - 24,2015,1
Health and Wellbeing,SVN,HIV Rate 15 - 24,2012,0.905
Health and Wellbeing,BRA,HIV Rate 15 - 24,2013,0.65
Health and Wellbeing,COL,HIV Rate 15 - 24,2014,0.737
Health and Wellbeing,FRA,HIV Rate 15 - 24,2011,0.898
Health and Wellbeing,VCT,HIV Rate 15 - 24,2013,0.591
Health and Wellbeing,BGD,HIV Rate 15 - 24,2014,1
Health and Wellbeing,COG,HIV Rate 15 - 24,2011,0
Health and Wellbeing,COM,HIV Rate 15 - 24,2013,0
Health and Wellbeing,BHS,HIV Rate 15 - 24,2014,0.591
Health and Wellbeing,GRD,HIV Rate 15 - 24,2013,0.591
Health and Wellbeing,PRK,HIV Rate 15 - 24,2012,0.842
Health and Wellbeing,BFA,HIV Rate 15 - 24,2014,0.387
Health and Wellbeing,KHM,HIV Rate 15 - 24,2014,0.825
Health and Wellbeing,BHR,HIV Rate 15 - 24,2014,0.987
Health and Wellbeing,COG,HIV Rate 15 - 24,2010,0
Health and Wellbeing,LBY,HIV Rate 15 - 24,2014,0.987
Health and Wellbeing,QAT,HIV Rate 15 - 24,2012,0.987
Health and Wellbeing,DOM,HIV Rate 15 - 24,2012,0.825
Employment and Opportunity,LTU,Adolescent fertility rate (births per 1000 women ages 15-19),2013,0.921
Employment and Opportunity,TWN,Adolescent fertility rate (births per 1000 women ages 15-19),2010,0.813
Employment and Opportunity,MOZ,Adolescent fertility rate (births per 1000 women ages 15-19),2014,0.073
Employment and Opportunity,CIV,Adolescent fertility rate (births per 1000 women ages 15-19),2010,0.116
Employment and Opportunity,CAN,Adolescent fertility rate (births per 1000 women ages 15-19),2012,0.93
Employment and Opportunity,LBY,Adolescent fertility rate (births per 1000 women ages 15-19),2013,0.963
Employment and Opportunity,PRY,Adolescent fertility rate (births per 1000 women ages 15-19),2011,0.601
Employment and Opportunity,LSO,Adolescent fertility rate (births per 1000 women ages 15-19),2011,0.409
Employment and Opportunity,MMR,Adolescent fertility rate (births per 1000 women ages 15-19),2015,0.895
Employment and Opportunity,TJK,Adolescent fertility rate (births per 1000 women ages 15-19),2013,0.75
Employment and Opportunity,FRA,Adolescent fertility rate (births per 1000 women ages 15-19),2015,0.945
Employment and Opportunity,PRT,Adolescent fertility rate (births per 1000 women ages 15-19),2013,0.932
Employment and Opportunity,IRN,Adolescent fertility rate (births per 1000 women ages 15-19),2015,0.827
Employment and Opportunity,PER,Adolescent fertility rate (births per 1000 women ages 15-19),2012,0.664
Employment and Opportunity,IND,Adolescent fertility rate (births per 1000 women ages 15-19),2013,0.821
Employment and Opportunity,TJK,Adolescent fertility rate (births per 1000 women ages 15-19),2015,0.754
Employment and Opportunity,FSM,Adolescent fertility rate (births per 1000 women ages 15-19),2011,0.874
Employment and Opportunity,IRL,Adolescent fertility rate (births per 1000 women ages 15-19),2012,0.925
Employment and Opportunity,ISR,Adolescent fertility rate (births per 1000 women ages 15-19),2015,0.938
Employment and Opportunity,SLE,Adolescent fertility rate (births per 1000 women ages 15-19),2012,0.186
Employment and Opportunity,OMN,Adolescent fertility rate (births per 1000 women ages 15-19),2014,0.948
Employment and Opportunity,PRT,Adolescent fertility rate (births per 1000 women ages 15-19),2014,0.937
Employment and Opportunity,ARM,Adolescent fertility rate (births per 1000 women ages 15-19),2015,0.851
Employment and Opportunity,GEO,Adolescent fertility rate (births per 1000 women ages 15-19),2010,0.689
Employment and Opportunity,MRT,Adolescent fertility rate (births per 1000 women ages 15-19),2010,0.453
Employment and Opportunity,KAZ,Adolescent fertility rate (births per 1000 women ages 15-19),2012,0.799
Employment and Opportunity,PRT,Adolescent fertility rate (births per 1000 women ages 15-19),2015,0.937
Employment and Opportunity,IRQ,Adolescent fertility rate (births per 1000 women ages 15-19),2011,0.482
Employment and Opportunity,LBN,Adolescent fertility rate (births per 1000 women ages 15-19),2010,0.918
Employment and Opportunity,SWE,Adolescent fertility rate (births per 1000 women ages 15-19),2015,0.967
Employment and Opportunity,HKG,Adolescent fertility rate (births per 1000 women ages 15-19),2010,0.982
Employment and Opportunity,FJI,Adolescent fertility rate (births per 1000 women ages 15-19),2015,0.714
Employment and Opportunity,BRA,Adolescent fertility rate (births per 1000 women ages 15-19),2014,0.565
Employment and Opportunity,GNB,Adolescent fertility rate (births per 1000 women ages 15-19),2015,0.407
Employment and Opportunity,SVK,Adolescent fertility rate (births per 1000 women ages 15-19),2013,0.868
Employment and Opportunity,BLZ,Adolescent fertility rate (births per 1000 women ages 15-19),2013,0.559
Employment and Opportunity,BGR,Adolescent fertility rate (births per 1000 women ages 15-19),2010,0.727
Employment and Opportunity,SWE,Adolescent fertility rate (births per 1000 women ages 15-19),2011,0.968
Employment and Opportunity,GNB,Adolescent fertility rate (births per 1000 women ages 15-19),2013,0.382
Employment and Opportunity,IRN,Adolescent fertility rate (births per 1000 women ages 15-19),2014,0.827
Employment and Opportunity,PER,Adolescent fertility rate (births per 1000 women ages 15-19),2013,0.672
Employment and Opportunity,DOM,Adolescent fertility rate (births per 1000 women ages 15-19),2013,0.354
Employment and Opportunity,MKD,Adolescent fertility rate (births per 1000 women ages 15-19),2014,0.888
Employment and Opportunity,NZL,Adolescent fertility rate (births per 1000 women ages 15-19),2014,0.848
Employment and Opportunity,COL,Adolescent fertility rate (births per 1000 women ages 15-19),2011,0.62
Employment and Opportunity,UZB,Adolescent fertility rate (births per 1000 women ages 15-19),2013,0.886
Employment and Opportunity,ERI,Adolescent fertility rate (births per 1000 women ages 15-19),2011,0.586
Employment and Opportunity,CHL,Adolescent fertility rate (births per 1000 women ages 15-19),2013,0.686
Employment and Opportunity,CAN,Adolescent fertility rate (births per 1000 women ages 15-19),2010,0.923
Employment and Opportunity,MDA,Adolescent fertility rate (births per 1000 women ages 15-19),2011,0.835
Employment and Opportunity,HKG,Adolescent fertility rate (births per 1000 women ages 15-19),2015,0.983
Employment and Opportunity,GRD,Adolescent fertility rate (births per 1000 women ages 15-19),2015,0.799
Employment and Opportunity,PER,Adolescent fertility rate (births per 1000 women ages 15-19),2015,0.68
Employment and Opportunity,AGO,Adolescent fertility rate (births per 1000 women ages 15-19),2014,0
Employment and Opportunity,CMR,Adolescent fertility rate (births per 1000 women ages 15-19),2014,0.306
Employment and Opportunity,CYP,Adolescent fertility rate (births per 1000 women ages 15-19),2012,0.968
Employment and Opportunity,GTM,Adolescent fertility rate (births per 1000 women ages 15-19),2010,0.431
Employment and Opportunity,TTO,Adolescent fertility rate (births per 1000 women ages 15-19),2015,0.794
Employment and Opportunity,GBR,Adolescent fertility rate (births per 1000 women ages 15-19),2011,0.876
Employment and Opportunity,PSE,Adolescent fertility rate (births per 1000 women ages 15-19),2015,0.618
Employment and Opportunity,SYC,Adolescent fertility rate (births per 1000 women ages 15-19),2013,0.619
Employment and Opportunity,TUR,Adolescent fertility rate (births per 1000 women ages 15-19),2010,0.777
Employment and Opportunity,AUT,Adolescent fertility rate (births per 1000 women ages 15-19),2013,0.952
Employment and Opportunity,COD,Adolescent fertility rate (births per 1000 women ages 15-19),2012,0.193
Employment and Opportunity,MYS,Adolescent fertility rate (births per 1000 women ages 15-19),2013,0.919
Employment and Opportunity,LKA,Adolescent fertility rate (births per 1000 women ages 15-19),2011,0.882
Employment and Opportunity,ISR,Adolescent fertility rate (births per 1000 women ages 15-19),2012,0.929
Employment and Opportunity,CYP,Adolescent fertility rate (births per 1000 women ages 15-19),2013,0.97
Employment and Opportunity,DEU,Adolescent fertility rate (births per 1000 women ages 15-19),2011,0.949
Employment and Opportunity,TUN,Adolescent fertility rate (births per 1000 women ages 15-19),2015,0.96
Employment and Opportunity,RWA,Adolescent fertility rate (births per 1000 women ages 15-19),2010,0.781
Employment and Opportunity,GIN,Adolescent fertility rate (births per 1000 women ages 15-19),2012,0.052
Employment and Opportunity,CZE,Adolescent fertility rate (births per 1000 women ages 15-19),2014,0.938
Employment and Opportunity,PRY,Adolescent fertility rate (births per 1000 women ages 15-19),2012,0.611
Employment and Opportunity,COL,Adolescent fertility rate (births per 1000 women ages 15-19),2014,0.667
Employment and Opportunity,VEN,Adolescent fertility rate (births per 1000 women ages 15-19),2015,0.484
Employment and Opportunity,SUR,Adolescent fertility rate (births per 1000 women ages 15-19),2010,0.682
Employment and Opportunity,MLI,Adolescent fertility rate (births per 1000 women ages 15-19),2010,0
Employment and Opportunity,TGO,Adolescent fertility rate (births per 1000 women ages 15-19),2014,0.404
Employment and Opportunity,SLE,Adolescent fertility rate (births per 1000 women ages 15-19),2011,0.161
Employment and Opportunity,LBY,Adolescent fertility rate (births per 1000 women ages 15-19),2015,0.964
Employment and Opportunity,MKD,Adolescent fertility rate (births per 1000 women ages 15-19),2010,0.876
Employment and Opportunity,GHA,Adolescent fertility rate (births per 1000 women ages 15-19),2010,0.544
Employment and Opportunity,NAM,Adolescent fertility rate (births per 1000 women ages 15-19),2010,0.483
Employment and Opportunity,KAZ,Adolescent fertility rate (births per 1000 women ages 15-19),2015,0.818
Employment and Opportunity,LKA,Adolescent fertility rate (births per 1000 women ages 15-19),2010,0.876
Employment and Opportunity,AFG,Adolescent fertility rate (births per 1000 women ages 15-19),2012,0.431
Employment and Opportunity,JAM,Adolescent fertility rate (births per 1000 women ages 15-19),2011,0.573
Employment and Opportunity,ZWE,Adolescent fertility rate (births per 1000 women ages 15-19),2015,0.283
Employment and Opportunity,PSE,Adolescent fertility rate (births per 1000 women ages 15-19),2013,0.611
Employment and Opportunity,CAF,Adolescent fertility rate (births per 1000 women ages 15-19),2015,0.395
Employment and Opportunity,ROU,Adolescent fertility rate (births per 1000 women ages 15-19),2010,0.756
Employment and Opportunity,CMR,Adolescent fertility rate (births per 1000 women ages 15-19),2013,0.277
Employment and Opportunity,UZB,Adolescent fertility rate (births per 1000 women ages 15-19),2014,0.888
Employment and Opportunity,CHE,Adolescent fertility rate (births per 1000 women ages 15-19),2013,0.983
Employment and Opportunity,LUX,Adolescent fertility rate (births per 1000 women ages 15-19),2012,0.959
Employment and Opportunity,IRN,Adolescent fertility rate (births per 1000 women ages 15-19),2012,0.817
Employment and Opportunity,CHL,Adolescent fertility rate (births per 1000 women ages 15-19),2012,0.682
Employment and Opportunity,SDN,Adolescent fertility rate (births per 1000 women ages 15-19),2014,0.508
Employment and Opportunity,BEL,Adolescent fertility rate (births per 1000 women ages 15-19),2010,0.942
Employment and Opportunity,RWA,Adolescent fertility rate (births per 1000 women ages 15-19),2011,0.795
Employment and Opportunity,LBY,Adolescent fertility rate (births per 1000 women ages 15-19),2014,0.964
Employment and Opportunity,KOR,Adolescent fertility rate (births per 1000 women ages 15-19),2010,0.992
Employment and Opportunity,BHR,Adolescent fertility rate (births per 1000 women ages 15-19),2010,0.912
Employment and Opportunity,LAO,Adolescent fertility rate (births per 1000 women ages 15-19),2010,0.55
Employment and Opportunity,FRA,Adolescent fertility rate (births per 1000 women ages 15-19),2014,0.945
Employment and Opportunity,BEN,Adolescent fertility rate (births per 1000 women ages 15-19),2010,0.376
Employment and Opportunity,EST,Adolescent fertility rate (births per 1000 women ages 15-19),2010,0.882
Employment and Opportunity,PSE,Adolescent fertility rate (births per 1000 women ages 15-19),2011,0.598
Employment and Opportunity,RUS,Adolescent fertility rate (births per 1000 women ages 15-19),2015,0.847
Employment and Opportunity,FSM,Adolescent fertility rate (births per 1000 women ages 15-19),2014,0.902
Employment and Opportunity,VUT,Adolescent fertility rate (births per 1000 women ages 15-19),2011,0.708
Employment and Opportunity,RUS,Adolescent fertility rate (births per 1000 women ages 15-19),2012,0.828
